size_bytes,rtt_seconds,one_way_seconds,rtt_microseconds,one_way_microseconds
1,1.2704000000000002e-06,6.352000000000001e-07,1.2704000000000002,0.6352000000000001
4096,3.3190666666666663e-06,1.6595333333333331e-06,3.319066666666666,1.659533333333333
65536,2.3776066666666664e-05,1.1888033333333332e-05,23.776066666666665,11.888033333333333
1048576,9.097706666666667e-05,4.548853333333334e-05,90.97706666666667,45.488533333333336
